sentiment,text,user
"neutral","RT @byLilyV: #FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learning Algorit…","Women_who_code"
"neutral","RT @byLilyV: #FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learning Algorit…","xaelbot"
"neutral","RT @byLilyV: #FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learning Algorit…","epuujee"
"neutral","#FEATURED #COURSES\n\n#Machine #Learning A-Z™: Hands-On #Python &amp; #R In #Data #Science\n\nLearn to create Machine Learn… https://t.co/goh6nADb8C","byLilyV"
"positive","RT @SuriyaSubraman: Top 5 Data Science Certifications: Data science is becoming more crucial as we dive deeper into the world of AI and tec…","epuujee"
"neutral","RT @SuriyaSubraman: National Big Data Health Science Conference | Friday, February 5: Event Detail. Member Events. February 5 - February 6.…","epuujee"
"negative","RT @nelth_fr: @ravinwashere Okay now explain the difference between machine learning and data science?!\n\nOh yeah and artificial intelligenc…","epuujee"
"neutral","RT @Jer1dah: Don't sleep on Udemy. There are financial modeling and data science courses for R200.\n\nIf you want to study a course on Udemy…","Siba_Mtshi"
"positive","Top 5 Data Science Certifications: Data science is becoming more crucial as we dive deeper into the world of AI and… https://t.co/pYyfymVSnm","SuriyaSubraman"
"neutral","National Big Data Health Science Conference | Friday, February 5: Event Detail. Member Events. February 5 - Februar… https://t.co/JL4cqbpZwX","SuriyaSubraman"
"neutral","Analyst, Data Science &amp; Capabilities https://t.co/wsvb02OijF","hire_pay"
"negative","RT @nelth_fr: @ravinwashere Okay now explain the difference between machine learning and data science?!\n\nOh yeah and artificial intelligenc…","Artificialbra1n"
"neutral","RT @Jer1dah: Don't sleep on Udemy. There are financial modeling and data science courses for R200.\n\nIf you want to study a course on Udemy…","Livinia_"
"neutral","RT @Eli_Krumova: How to Evaluate a #DataScience Project\nhttps://t.co/KJ2L71zTTb\n\n#ArtificialIntelligence #AI #ML #MachineLearning #DataAnal…","BotFemale"
"neutral","RT @Jer1dah: Don't sleep on Udemy. There are financial modeling and data science courses for R200.\n\nIf you want to study a course on Udemy…","An0tHeR_VaNdAl"
"neutral","RT @Jer1dah: Don't sleep on Udemy. There are financial modeling and data science courses for R200.\n\nIf you want to study a course on Udemy…","LungileGodwana"
"neutral","RT @Eli_Krumova: How to Evaluate a #DataScience Project\nhttps://t.co/KJ2L71zTTb\n\n#ArtificialIntelligence #AI #ML #MachineLearning #DataAnal…","friday_Js_bot"
"neutral","RT @Eli_Krumova: How to Evaluate a #DataScience Project\nhttps://t.co/KJ2L71zTTb\n\n#ArtificialIntelligence #AI #ML #MachineLearning #DataAnal…","abhibisht89"
"neutral","RT @Jer1dah: Don't sleep on Udemy. There are financial modeling and data science courses for R200.\n\nIf you want to study a course on Udemy…","_ReneilweRiRi"
"negative","RT @BBCWorld: Satellite data shows 2016 and 2020 in a dead heat for world's warmest year https://t.co/n7mQ3KA70J","Green_Wireless"
